"","PROC.CODE","PROCEDURE.DESCRIPTION"
"1","10020","INCISION AND DRAINAGE OF FURUNCLE  "
"2","10061","DRAINAGE OF SKIN ABSCESS           "
"3","10080","DRAINAGE OF PILONIDAL CYST         "
"4","1010F","SEVERITY ANGINA BY ACTVTY          "
"5","10100","INCISION AND DRAINAGE OF ONYCHIA OR"
"6","1011F","ANGINA PRESENT                     "
"7","1012F","ANGINA ABSENT                      "
"8","10120","REMOVE FOREIGN BODY                "
"9","10140","INCISION AND DRAINAGE OF HEMATOMA, "
"10","10141","INCISION AND DRAINAGE OF HEMATOMA; "
"11","1015F","COPD SYMPTOMS ASSESS               "
"12","10160","PUNCTURE DRAINAGE OF LESION        "
"13","1018F","ASSESS DYSPNEA NOT PRESENT         "
"14","10180","COMPLEX DRAINAGE WOUND             "
"15","1019F","ASSESS DYSPNEA PRESENT             "
"16","1022F","PNEUMO IMM STATUS ASSESS           "
"17","1026F","CO-MORBID CONDITION ASSESS         "
"18","1030F","INFLUENZA IMM STATUS ASSESS        "
"19","1031F","SMOKING & 2ND HAND ASSESSED"
"20","1032F","SMOKER/EXPOSED 2ND HND SMOKE"
"21","1033F","TOBACCO NONSMOKER NOR 2NDHND"
"22","1034F","CURRENT TOBACCO SMOKER             "
"23","1035F","SMOKELESS TOBACCO USER             "
"24","1036F","TOBACCO NON-USER                   "
"25","1038F","PERSISTENT ASTHMA                  "
"26","1039F","INTERMITTENT ASTHMA                "
"27","1040F","DSM-5 INFO MDD DOCD"
"28","1050F","HISTORY OF MOLE CHANGES            "
"29","1052F","TYPE LOCATION ACTIVITYASSESS       "
"30","1055F","VISUAL FUNCT STATUS ASSESS         "
"31","1060F","DOC PERM/CONT/PAROX ATR FIB        "
"32","1061F","DOC LACK PERM+CONT+PAROX FIB       "
"33","1065F","ISCHM STROKE SYMP LT3 HRSB/4"
"34","1066F","ISCHM STROKE SYMP GE3 HRSB/4"
"35","1070F","ALARM SYMP ASSESSED-ABSENT         "
"36","1071F","ALARM SYMP ASSESSED-1+ PRSNT"
"37","1090F","PRES/ABSN URINE INCON ASSESS       "
"38","1091F","URINE INCON CHARACTERIZED          "
"39","1100F","PTFALLS ASSESS-DOCD GE2>/YR"
"40","11000","DEBRIDE INFECTED SKIN              "
"41","11001","DEBRIDE INFECTED SKIN ADD-ON       "
"42","11004","DEBRIDE GENITALIA & PERINEUM       "
"43","11005","DEBRIDE ABDOM WALL                 "
"44","11006","DEBRIDE GENIT/PER/ABDOM WALL       "
"45","11008","REMOVE MESH FROM ABD WALL          "
"46","1101F","PT FALLS ASSESS-DOCD LE1/YR"
"47","11010","DEBRIDE SKIN AT FX SITE            "
"48","11011","DEBRIDE SKIN MUSC AT FX SITE       "
"49","11012","DEB SKIN BONE AT FX SITE           "
"50","11040","DEBRIDEMENT; SKIN, PARTIAL THICKNES"
"51","11041","DEBRIDEMENT; SKIN, FULL THICKNESS  "
