"","x"
"1","HYDROXYAMPHETAMINE HYDROBROMIDE"
"2","SULFAPYRIDINE"
"3","HEPARIN SODIUM"
"4","HISTAMINE PHOSPHATE"
"5","BUTABARBITAL SODIUM"
"6","DESOXYCORTICOSTERONE ACETATE"
"7","VERARD"
"8","GUANIDINE HYDROCHLORIDE"
"9","MENADIONE"
"10","INULIN"
"11","AMINOPHYLLINE"
"12","SULFUR"
"13","METHYLTESTOSTERONE"
"14","VASOPRESSIN TANNATE"
"15","ERGOCALCIFEROL"
"16","MENADIOL SODIUM DIPHOSPHATE"
"17","ESTRONE"
"18","DIETHYLSTILBESTROL"
"19","SULFADIAZINE"
"20","SULFADIAZINE SODIUM"
"21","ALCOHOL; DEXTROSE"
"22","ESTROGENS  CONJUGATED"
"23","MEPERIDINE HYDROCHLORIDE"
"24","HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE"
"25","ETHINYL ESTRADIOL"
"26","IOPHENDYLATE"
"27","METHAMPHETAMINE HYDROCHLORIDE"
"28","DICUMAROL"
"29","AMINOHIPPURATE SODIUM"
"30","MANNITOL"
"31","TUBOCURARINE CHLORIDE"
"32","VERATRUM VIRIDE ROOT"
"33","TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)"
"34","NITROFURAZONE"
"35","DIPHENHYDRAMINE HYDROCHLORIDE"
"36","TRIMETHADIONE"
"37","FOLIC ACID"
"38","TRIPELENNAMINE HYDROCHLORIDE"
"39","TRIPELENNAMINE CITRATE"
"40","DIHYDROERGOTAMINE MESYLATE"
"41","PROTEIN HYDROLYSATE"
"42","DIMERCAPROL"
"43","SULFACETAMIDE SODIUM"
"44","SODIUM TETRADECYL SULFATE"
"45","CHLOROQUINE PHOSPHATE"
"46","CHLOROQUINE HYDROCHLORIDE"
"47","MEPHENYTOIN"
"48","FERROUS SULFATE; FOLIC ACID"
"49","METHYLERGONOVINE MALEATE"
"50","SULFOXONE SODIUM"
"51","ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E"
"52","DIENESTROL"
"53","METHADONE HYDROCHLORIDE"
"54","PROPYLTHIOURACIL"
"55","DIBUCAINE HYDROCHLORIDE"
"56","HEXACHLOROPHENE"
"57","LINDANE"
"58","SULFADIAZINE; SULFAMERAZINE"
"59","TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)"
"60","ISOPROTERENOL HYDROCHLORIDE"
"61","THEOPHYLLINE SODIUM GLYCINATE"
"62","TOLAZOLINE HYDROCHLORIDE"
"63","DOXYLAMINE SUCCINATE"
"64","AMODIAQUINE HYDROCHLORIDE"
"65","DIETHYLCARBAMAZINE CITRATE"
"66","PROTAMINE SULFATE"
"67","CALCIUM GLUCEPTATE"
"68","LIDOCAINE HYDROCHLORIDE"
"69","EPINEPHRINE; LIDOCAINE HYDROCHLORIDE"
"70","SULFISOXAZOLE"
"71","SULFANILAMIDE"
"72","BETHANECHOL CHLORIDE"
"73","AMMONIUM CHLORIDE"
"74","CAFFEINE; ERGOTAMINE TARTRATE"
"75","METOCURINE IODIDE"
"76","CYANOCOBALAMIN"
"77","MECHLORETHAMINE HYDROCHLORIDE"
"78","METHOXAMINE HYDROCHLORIDE"
"79","TRIHEXYPHENIDYL HYDROCHLORIDE"
"80","PARAMETHADIONE"
"81","AMINOSALICYLIC ACID"
"82","AMINOSALICYLATE SODIUM"
"83","VITAMIN A PALMITATE"
"84","ISOPROTERENOL SULFATE"
