,Foundation.URI,Code,Title,DepthInKind,isLeaf,icd_code
1,http://id.who.int/icd/entity/257068234,1A00,Cholera,1,TRUE,1A00 - Cholera
2,http://id.who.int/icd/entity/416025325,1A01,Intestinal infection due to other Vibrio,1,TRUE,1A01 - Intestinal infection due to other Vibrio
3,http://id.who.int/icd/entity/2080365623,1A02,Intestinal infections due to Shigella,1,TRUE,1A02 - Intestinal infections due to Shigella
4,http://id.who.int/icd/entity/344162786,1A03,Intestinal infections due to Escherichia coli,1,FALSE,1A03 - Intestinal infections due to Escherichia coli
5,http://id.who.int/icd/entity/2099226249,1A03.0,Enteropathogenic Escherichia coli infection,2,TRUE,1A03.0 - Enteropathogenic Escherichia coli infection
6,http://id.who.int/icd/entity/408185629,1A03.1,Enterotoxigenic Escherichia coli infection,2,TRUE,1A03.1 - Enterotoxigenic Escherichia coli infection
7,http://id.who.int/icd/entity/1828273122,1A03.2,Enteroinvasive Escherichia coli infection,2,TRUE,1A03.2 - Enteroinvasive Escherichia coli infection
8,http://id.who.int/icd/entity/162723448,1A03.3,Enterohaemorrhagic Escherichia coli infection,2,TRUE,1A03.3 - Enterohaemorrhagic Escherichia coli infection
9,,1A03.Y,Intestinal infections due to other specified Escherichia coli,2,TRUE,1A03.Y - Intestinal infections due to other specified Escherichia coli
10,,1A03.Z,"Intestinal infections due to Escherichia coli, unspecified",2,TRUE,"1A03.Z - Intestinal infections due to Escherichia coli, unspecified"
11,http://id.who.int/icd/entity/250688797,1A04,Intestinal infections due to Clostridioides difficile,1,TRUE,1A04 - Intestinal infections due to Clostridioides difficile
12,http://id.who.int/icd/entity/1000894786,1A05,Intestinal infections due to Yersinia enterocolitica,1,TRUE,1A05 - Intestinal infections due to Yersinia enterocolitica
13,http://id.who.int/icd/entity/794462570,1A06,Gastroenteritis due to Campylobacter,1,TRUE,1A06 - Gastroenteritis due to Campylobacter
14,http://id.who.int/icd/entity/1528414070,1A07,Typhoid fever,1,FALSE,1A07 - Typhoid fever
15,http://id.who.int/icd/entity/364534567,1A07.0,Typhoid peritonitis,2,TRUE,1A07.0 - Typhoid peritonitis
16,,1A07.Y,Other specified typhoid fever,2,TRUE,1A07.Y - Other specified typhoid fever
17,,1A07.Z,"Typhoid fever, unspecified",2,TRUE,"1A07.Z - Typhoid fever, unspecified"
18,http://id.who.int/icd/entity/1780040028,1A08,Paratyphoid fever,1,TRUE,1A08 - Paratyphoid fever
19,http://id.who.int/icd/entity/515117475,1A09,Infections due to other Salmonella,1,FALSE,1A09 - Infections due to other Salmonella
20,http://id.who.int/icd/entity/1520312138,1A09.0,Salmonella enteritis,2,TRUE,1A09.0 - Salmonella enteritis
21,,1A09.Y,Infections due to other Salmonella in other organs,2,TRUE,1A09.Y - Infections due to other Salmonella in other organs
22,,1A09.Z,"Salmonella infection, unspecified",2,TRUE,"1A09.Z - Salmonella infection, unspecified"
23,,1A0Y,Other specified bacterial intestinal infections,1,TRUE,1A0Y - Other specified bacterial intestinal infections
24,,1A0Z,"Bacterial intestinal infections, unspecified",1,TRUE,"1A0Z - Bacterial intestinal infections, unspecified"
25,http://id.who.int/icd/entity/1642556936,1A10,Foodborne staphylococcal intoxication,1,TRUE,1A10 - Foodborne staphylococcal intoxication
26,http://id.who.int/icd/entity/78422942,1A11,Botulism,1,FALSE,1A11 - Botulism
27,http://id.who.int/icd/entity/2033726602,1A11.0,Foodborne intoxication by botulinum toxin,2,TRUE,1A11.0 - Foodborne intoxication by botulinum toxin
28,http://id.who.int/icd/entity/1393712712,1A11.1,Other forms of botulism,2,TRUE,1A11.1 - Other forms of botulism
29,,1A11.Z,"Botulism, unspecified",2,TRUE,"1A11.Z - Botulism, unspecified"
30,http://id.who.int/icd/entity/1879176035,1A12,Foodborne Clostridium perfringens intoxication,1,TRUE,1A12 - Foodborne Clostridium perfringens intoxication
31,http://id.who.int/icd/entity/1722068323,1A13,Foodborne Bacillus cereus intoxication,1,TRUE,1A13 - Foodborne Bacillus cereus intoxication
32,,1A1Y,Other specified bacterial foodborne intoxications,1,TRUE,1A1Y - Other specified bacterial foodborne intoxications
33,,1A1Z,"Bacterial foodborne intoxications, unspecified",1,TRUE,"1A1Z - Bacterial foodborne intoxications, unspecified"
34,http://id.who.int/icd/entity/749414717,1A20,Enteritis due to Adenovirus,1,TRUE,1A20 - Enteritis due to Adenovirus
35,http://id.who.int/icd/entity/1185210745,1A21,Gastroenteritis due to Astrovirus,1,TRUE,1A21 - Gastroenteritis due to Astrovirus
36,http://id.who.int/icd/entity/840750347,1A22,Gastroenteritis due to Rotavirus,1,TRUE,1A22 - Gastroenteritis due to Rotavirus
37,http://id.who.int/icd/entity/1465325727,1A23,Enteritis due to Norovirus,1,TRUE,1A23 - Enteritis due to Norovirus
38,http://id.who.int/icd/entity/1519125035,1A24,Intestinal infections due to Cytomegalovirus,1,TRUE,1A24 - Intestinal infections due to Cytomegalovirus
39,,1A2Y,Other specified viral intestinal infections,1,TRUE,1A2Y - Other specified viral intestinal infections
40,,1A2Z,"Viral intestinal infections, unspecified",1,TRUE,"1A2Z - Viral intestinal infections, unspecified"
41,http://id.who.int/icd/entity/2090337975,1A30,Infections due to Balantidium coli,1,TRUE,1A30 - Infections due to Balantidium coli
