Site Description,Histology,Histology Description,Histology/Behavior,Histology/Behavior Description,,,,,
LIP,800,NEOPLASM,8000/3,"Neoplasm, malignant",,,,,
LIP,800,NEOPLASM,8001/3,"Tumor cells, malignant",,,,,
LIP,800,NEOPLASM,8002/3,"Malignant tumor, small cell type",,,,,
LIP,800,NEOPLASM,8003/3,"Malignant tumor, giant cell type",,,,,
LIP,800,NEOPLASM,8004/3,"Malignant tumor, spindle cell type",,,,,
LIP,800,NEOPLASM,8005/3,"Malignant tumor, clear cell type",,,,,
LIP,801,"CARCINOMA, NOS",8010/2,"Carcinoma in situ, NOS",,,,,
LIP,801,"CARCINOMA, NOS",8010/3,"Carcinoma, NOS",,,,,
LIP,801,"CARCINOMA, NOS",8011/3,"Epithelioma, malignant",,,,,
LIP,801,"CARCINOMA, NOS",8012/3,"Large cell carcinoma, NOS",,,,,
LIP,801,"CARCINOMA, NOS",8013/3,Large cell neuroendocrine carcinoma,,,,,
LIP,801,"CARCINOMA, NOS",8014/3,Large cell carcinoma with rhabdoid phenotype,,,,,
LIP,801,"CARCINOMA, NOS",8015/3,Glassy cell carcinoma,,,,,
LIP,802,"CARCINOMA, UNDIFF., NOS",8020/3,"Carcinoma, undifferentiated type, NOS",,,,,
LIP,802,"CARCINOMA, UNDIFF., NOS",8021/3,"Carcinoma, anaplastic type, NOS",,,,,
LIP,802,"CARCINOMA, UNDIFF., NOS",8022/3,Pleomorphic carcinoma,,,,,
LIP,803,GIANT & SPINDLE CELL CARCINOMA,8030/3,Giant cell and spindle cell carcinoma,,,,,
LIP,803,GIANT & SPINDLE CELL CARCINOMA,8031/3,Giant cell carcinoma,,,,,
LIP,803,GIANT & SPINDLE CELL CARCINOMA,8032/3,Spindle cell carcinoma,,,,,
LIP,803,GIANT & SPINDLE CELL CARCINOMA,8033/3,Pseudosarcomatous carcinoma,,,,,
LIP,803,GIANT & SPINDLE CELL CARCINOMA,8034/3,Polygonal cell carcinoma,,,,,
LIP,803,GIANT & SPINDLE CELL CARCINOMA,8035/3,Carcinoma with osteoclast-like giant cells,,,,,
LIP,805,"PAPILLARY CARCINOMA, NOS",8050/2,Papillary carcinoma in situ,,,,,
LIP,805,"PAPILLARY CARCINOMA, NOS",8050/3,"Papillary carcinoma, NOS",,,,,
LIP,805,"PAPILLARY CARCINOMA, NOS",8051/3,"Verrucous carcinoma, NOS",,,,,
LIP,805,"PAPILLARY CARCINOMA, NOS",8052/2,"Papillary squamous cell carcinoma, non-invasive",,,,,
LIP,805,"PAPILLARY CARCINOMA, NOS",8052/3,Papillary squamous cell carcinoma,,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8070/2,"Squamous cell carcinoma in situ, NOS",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8070/3,"Squamous cell carcinoma, NOS",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8071/3,"Sq. cell carcinoma, keratinizing, NOS",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8072/3,"Sq. cell carcinoma, lg. cell, non-ker.",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8073/3,"Sq. cell carcinoma, sm. cell, non-ker.",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8074/3,"Sq. cell carcinoma, spindle cell",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8075/3,"Squamous cell carcinoma, adenoid",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8076/2,Sq. cell carc. in situ with question. stromal invas.,,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8076/3,"Sq. cell carcinoma, micro-invasive",,,,,
LIP,807,"SQUAMOUS CELL CARCINOMA, NOS",8078/3,Squamous cell carcinoma with horn formation,,,,,
LIP,808,LYMPHOEPITHELIAL CARCINOMA,8081/2,Bowen disease,,,,,
LIP,808,LYMPHOEPITHELIAL CARCINOMA,8082/3,Lymphoepithelial carcinoma,,,,,
LIP,808,LYMPHOEPITHELIAL CARCINOMA,8083/3,Basaloid squamous cell carcinoma,,,,,
LIP,808,LYMPHOEPITHELIAL CARCINOMA,8084/3,"Squamous cell carcinoma, clear cell type",,,,,
LIP,814,"ADENOCARCINOMA, NOS",8140/2,Adenocarcinoma in situ,,,,,
LIP,814,"ADENOCARCINOMA, NOS",8140/3,"Adenocarcinoma, NOS",,,,,
LIP,814,"ADENOCARCINOMA, NOS",8141/3,Scirrhous adenocarcinoma,,,,,
LIP,814,"ADENOCARCINOMA, NOS",8143/3,Superficial spreading adenocarcinoma,,,,,
LIP,814,"ADENOCARCINOMA, NOS",8147/3,Basal cell adenocarcinoma,,,,,
LIP,820,ADENOID CYSTIC & CRIBRIFORM CA.,8200/3,Adenoid cystic carcinoma,,,,,
LIP,820,ADENOID CYSTIC & CRIBRIFORM CA.,8201/2,Cribriform carcinoma in situ,,,,,
