"state_name","region","state_abbr_official"
"Aguascalientes","01","Ags."
"Baja California","02","BC"
"Baja California Sur","03","BCS"
"Campeche","04","Camp."
"Chiapas","07","Chis."
"Chihuahua","08","Chih."
"Ciudad de México","09","CDMX"
"Coahuila","05","Coah."
"Colima","06","Col."
"Durango","10","Dgo."
"Guanajuato","11","Gto."
"Guerrero","12","Gro."
"Hidalgo","13","Hgo."
"Jalisco","14","Jal."
"México","15","Mex."
"Michoacán","16","Mich."
"Morelos","17","Mor."
"Nayarit","18","Nay."
"Nuevo León","19","NL"
"Oaxaca","20","Oax."
"Puebla","21","Pue."
"Querétaro","22","Qro."
"Quintana Roo","23","Q. Roo"
"San Luis Potosí","24","SLP"
"Sinaloa","25","Sin."
"Sonora","26","Son."
"Tabasco","27","Tab."
"Tamaulipas","28","Tamps."
"Tlaxcala","29","Tlax."
"Veracruz","30","Ver."
"Yucatán","31","Yuc."
"Zacatecas","32","Zac."
