"","tumor"
"1",""
"2","Endometrial Cancer"
"3","Melanocytoma"
"4","Colorectal Cancer"
"5","Peripheral Nervous System"
"6","Uterine Sarcoma"
"7","Desmoplastic/Nodular Medulloblastoma"
"8","Non-Small Cell Lung Cancer"
"9","Thymic Tumor"
"10","Skin Cancer, Non-Melanoma"
"11","Malignant Glomus Tumor"
"12","Gestational Trophoblastic Disease"
"13","Parathyroid Cancer"
"14","Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach"
"15","Myelodysplastic/Myeloproliferative Neoplasms"
"16","Breast Sarcoma"
"17","Esophageal/Stomach Cancer"
"18","Rhabdoid Cancer"
"19","Head and Neck Cancer"
"20","Adrenocortical Carcinoma"
"21","Soft Tissue Sarcoma"
"22","Medulloblastoma with Extensive Nodularity"
"23","Non-Hodgkin Lymphoma"
"24","Pancreatic Cancer"
"25","Eye Cancer"
"26","Nerve Sheath Tumor"
"27","Medulloblastoma"
"28","Peritoneal Cancer, NOS"
"29","Kidney Cancer"
"30","Mastocytosis"
"31","Lung Cancer"
"32","Malignant Rhabdoid Tumor of the Liver"
"33","Salivary Gland Cancer"
"34","Leukemia"
"35","Sex Cord Stromal Tumor"
"36","Posttransplant Lymphoproliferative Disorders"
"37","Liver Cancer"
"38","Undifferentiated Embryonal Sarcoma of the Liver"
"39","Primary CNS Melanocytic Tumors"
"40","Small Bowel Cancer"
"41","Ovarian Cancer"
"42","Soft Tissue Cancer"
"43","Appendiceal Cancer"
"44","Mature B-Cell Neoplasms"
"45","Penile Cancer"
"46","Myelodysplastic Syndromes"
"47","Sellar Tumor"
"48","Bladder/Urinary Tract Cancer"
"49","Vulvar Carcinoma"
"50","Gastrointestinal Stromal Tumor"
"51","Histiocytosis"
"52","Adenocarcinoma In Situ"
"53","Bowel Cancer"
"54","Tubular Adenoma of the Colon"
"55","Thyroid Cancer"
"56","T-Lymphoblastic Leukemia/Lymphoma"
"57","Uterine Cancer"
"58","CNS/Brain Cancer"
"59","Myofibromatosis"
"60","Pheochromocytoma"
"61","Ovarian/Fallopian Tube Cancer"
"62","Small Cell Lung Cancer"
"63","Ampullary Cancer"
"64","Embryonal Tumor"
"65","Mesothelioma"
"66","Hepatobiliary Cancer"
"67","Cancer of Unknown Primary"
"68","Lymphatic Cancer"
"69","Hodgkin Lymphoma"
"70","Miscellaneous Neuroepithelial Tumor"
"71","Angiomatoid Fibrous Histiocytoma"
"72","Infantile Fibrosarcoma"
"73","Renal Cell Carcinoma"
"74","Mature T and NK Neoplasms"
"75","Vaginal Cancer"
"76","Cervical Cancer"
"77","Melanoma"
"78","Myeloid Neoplasms with Germ Line Predisposition"
"79","B-Lymphoblastic Leukemia/Lymphoma"
"80","Clear Cell Sarcoma of Kidney"
"81","Sialoblastoma"
"82","Lymphatic Cancer, NOS"
"83","Pleural Cancer"
"84","Ampullary Carcinoma"
"85","Anal Cancer"
"86","Lacrimal Gland Tumor"
"87","Retinoblastoma"
"88","CNS Cancer"
"89","Esophagogastric Cancer"
"90","Testicular Cancer"
"91","Blastic Plasmacytoid Dendritic Cell Neoplasm"
"92","Blood Cancer"
"93","Germ Cell Tumor"
"94","Adrenal Gland Cancer"
"95","Blood Cancer, NOS"
"96","Skin Cancer"
"97","Choroid Plexus Tumor"
"98","Peripheral Nervous System Cancer"
"99","Other Cancer"
"100","Gastrointestinal Neuroendocrine Tumor"
"101","Adrenocortical Adenoma"
"102","Bladder Cancer"
"103","Vulvar/Vaginal Cancer"
"104","Breast Cancer"
"105","Miscellaneous Brain Tumor"
"106","Thymic Cancer"
"107","Pineal Tumor"
"108","Bone Cancer"
"109","Large Cell/Anaplastic Medulloblastoma"
"110","Myeloproliferative Neoplasms"
"111","Peritoneal Cancer"
"112","Glioma"
"113","Biliary Tract Cancer"
"114","Prostate Cancer"
"115","Wilms Tumor"
"116","Renal Neuroendocrine Tumor"
